nace_r2,sizeclas,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
B,GE10,AVG_3Y,IT	0.7 p	0.3 p	0.2 p	0.3 p	0.3 p	0.3 p	0.2 p	0.1 p	0.1 p	0.2 p	0.2 p
B,GE10,AVG_3Y,LT	0.5 	0.5 	0.1 	0.0 	0.1 	0.1 	0.1 	0.0 	0.5 	: 	: 
B,GE10,AVG_3Y,LU	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.0 	0.1 	: 	: 
B,GE10,AVG_3Y,LV	0.8 	0.6 	0.4 	0.2 	0.2 	0.3 	0.4 	0.8 	1.0 	: 	: 
B,GE10,AVG_3Y,MT	3.6 b	2.6 b	2.6 b	2.5 b	2.5 p	1.1 u	0.9 	1.0 	: 	: 	: 
B,GE10,AVG_3Y,NO	1.4 	0.8 	1.1 	1.8 	2.8 	3.2 	3.0 	: 	: 	: 	: 
B,GE10,AVG_3Y,PL	0.1 	0.1 	0.1 	0.0 	0.1 	0.1 	0.1 	0.1 	: 	: 	: 
B,GE10,AVG_3Y,PT	: c	: c	: c	: c	: c	: c	: c	0.3 	0.3 	: 	: 
B,GE10,AVG_3Y,RO	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.0 	0.0 	: 	: 	: 
B,GE10,AVG_3Y,SE	3.5 	3.7 	3.8 	4.1 	4.2 	3.9 	3.3 	2.0 	: 	: 	: 
B,GE10,AVG_3Y,SI	0.5 	: c	: c	: c	0.2 	0.2 	0.2 	0.2 	0.2 	: 	: 
B,GE10,AVG_3Y,SK	1.5 	1.4 	1.1 	0.7 	0.6 	0.8 	0.8 	0.8 	1.2 	: 	: 
B,GE10,AVG_A,BE	1.9 	2.6 	1.6 	2.1 	1.5 	0.2 b	0.6 b	: 	: 	: 	: 
B,GE10,AVG_A,BG	1.5 p	1.6 p	1.5 	1.3 	1.8 	1.9 	1.5 	1.1 	0.8 	0.4 	: 
B,GE10,AVG_A,CY	0.9 	0.5 	1.0 	0.1 	0.1 	0.4 	0.1 	1.5 	1.0 	0.6 	: 
B,GE10,AVG_A,CZ	1.5 	0.6 	0.4 	0.3 	0.3 	0.1 	0.4 	0.3 	0.2 	0.2 	1.2 
B,GE10,AVG_A,DE	0.8 	0.9 	0.6 	0.4 	0.6 	0.5 	0.4 	0.4 	: 	: 	: 
B,GE10,AVG_A,DK	4.5 p	3.9 	2.4 	2.1 	2.6 	1.3 	3.3 	3.5 	2.3 	: 	: 
B,GE10,AVG_A,EE	0.2 	0.7 	0.5 	0.4 	0.3 	0.4 	0.7 	0.4 	0.2 	0.0 	0.1 
B,GE10,AVG_A,EL	0.2 	0.0 	0.0 	0.0 	0.3 	: 	2.9 	0.5 	0.1 	0.5 	: 
B,GE10,AVG_A,ES	0.1 p	0.1 	0.2 	0.1 	0.1 	0.0 b	0.2 	0.2 	0.3 	0.2 	: 
B,GE10,AVG_A,FI	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
B,GE10,AVG_A,FR	1.2 	0.2 	0.1 	0.1 	0.4 	0.1 	0.1 	0.3 	0.1 	0.0 	0.3 
B,GE10,AVG_A,HR	0.4 	0.4 	0.2 b	0.5 	0.0 	: c	0.1 	0.5 	0.0 	: 	: 
B,GE10,AVG_A,HU	2.2 p	0.7 	0.6 	0.1 	0.6 	0.2 	0.6 	0.3 	0.2 	0.1 	0.3 
B,GE10,AVG_A,IE	0.0 p	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
B,GE10,AVG_A,IT	1.3 p	0.6 p	0.3 p	0.2 p	0.1 p	0.5 p	0.4 p	0.2 p	0.1 p	0.1 p	0.2 p
B,GE10,AVG_A,LT	0.1 	1.2 	0.2 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	1.4 
B,GE10,AVG_A,LU	0.2 	0.1 	0.1 	0.1 	0.1 	0.0 	0.4 	0.1 	0.0 	0.0 	0.2 
B,GE10,AVG_A,LV	0.7 	0.8 	1.0 	0.1 	0.0 	0.5 	0.3 	0.0 	0.8 	1.5 	0.7 
B,GE10,AVG_A,MT	4.3 b	5.0 b	1.6 p	1.3 b	5.1 p	1.1 u	1.4 u	0.8 u	0.5 p	1.6 	: 
B,GE10,AVG_A,NO	2.6 	1.1 	0.6 	0.8 	2.0 	2.7 	3.6 	3.3 	2.1 	: 	: 
B,GE10,AVG_A,PL	0.2 	0.1 	0.1 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	: 
B,GE10,AVG_A,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.2 	0.4 
B,GE10,AVG_A,RO	0.1 	0.2 	0.2 	0.1 	0.2 	0.1 	0.1 	0.0 	0.0 	0.1 	: 
B,GE10,AVG_A,SE	3.5 	3.0 	4.0 	4.2 	3.2 	5.0 	4.4 	2.4 	3.1 	0.6 	: 
B,GE10,AVG_A,SI	0.5 	0.6 	0.4 	: c	0.3 	0.1 	0.1 	0.2 	0.3 	0.1 	0.2 
B,GE10,AVG_A,SK	1.4 	1.3 	1.7 	1.2 	0.4 	0.6 	0.8 	0.8 	0.8 	0.9 	1.9 
B,TOTAL,AVG_3Y,AT	1.5 	1.1 	0.9 	0.9 	0.9 	0.9 	1.1 	1.0 	: 	: 	: 
B,TOTAL,AVG_3Y,BE	2.0 	2.2 	1.8 	1.4 b	0.8 b	0.3 	0.2 	: 	: 	: 	: 
B,TOTAL,AVG_3Y,BG	1.5 p	1.5 p	1.5 	1.6 	1.7 	1.5 	1.1 	0.8 	: 	: 	: 
B,TOTAL,AVG_3Y,CH	0.5 	0.4 	0.5 	0.5 	0.6 	0.6 	0.5 	0.5 	0.6 	0.7 	0.9 
B,TOTAL,AVG_3Y,CY	1.0 	0.7 	0.5 	0.2 	0.2 	0.6 	1.1 	1.9 	: 	: 	: 
B,TOTAL,AVG_3Y,CZ	0.8 	0.5 	0.3 	0.2 	0.2 	0.2 	0.3 	0.2 	0.5 	: 	: 
B,TOTAL,AVG_3Y,DE	0.9 	0.7 	0.6 	0.6 	0.5 	0.5 	: 	: 	: 	: 	: 
B,TOTAL,AVG_3Y,DK	3.2 p	2.4 	2.2 	1.9 	2.3 	2.5 	2.8 	: 	: 	: 	: 
B,TOTAL,AVG_3Y,EA	0.8 e	0.6 e	0.6 e	0.6 e	0.7 	0.7 	: 	: 	: 	: 	: 
B,TOTAL,AVG_3Y,EA19	0.8 e	0.6 e	0.6 e	0.6 e	0.6 	0.6 	: 	: 	: 	: 	: 
B,TOTAL,AVG_3Y,EE	0.5 	0.6 	0.4 	0.4 	0.5 	0.5 	0.5 	0.3 	0.2 	: 	: 
B,TOTAL,AVG_3Y,EL	0.2 	0.1 	0.1 	: c	: c	: c	1.0 	0.4 	: 	: 	: 
